Notes,State of Residence,County of Residence,Year,Births,% of Total Births
Total,Washington,"Snohomish County, WA",,39354,0.26%
,Washington,"Spokane County, WA",2016,6145,0.04%
,Washington,"Spokane County, WA",2017,5895,0.04%
,Washington,"Spokane County, WA",2018,5737,0.04%
,Washington,"Spokane County, WA",2019,5827,0.04%
Total,Washington,"Spokane County, WA",,23604,0.15%
,Washington,"Thurston County, WA",2016,3205,0.02%
,Washington,"Thurston County, WA",2017,3067,0.02%
,Washington,"Thurston County, WA",2018,3108,0.02%
,Washington,"Thurston County, WA",2019,3060,0.02%
Total,Washington,"Thurston County, WA",,12440,0.08%
,Washington,"Whatcom County, WA",2016,2279,0.01%
,Washington,"Whatcom County, WA",2017,2163,0.01%
,Washington,"Whatcom County, WA",2018,2161,0.01%
,Washington,"Whatcom County, WA",2019,1991,0.01%
Total,Washington,"Whatcom County, WA",,8594,0.06%
,Washington,"Yakima County, WA",2016,3935,0.03%
,Washington,"Yakima County, WA",2017,3789,0.02%
,Washington,"Yakima County, WA",2018,3690,0.02%
,Washington,"Yakima County, WA",2019,3488,0.02%
Total,Washington,"Yakima County, WA",,14902,0.10%
,Washington,"Unidentified Counties, WA",2016,12751,0.08%
,Washington,"Unidentified Counties, WA",2017,12382,0.08%
,Washington,"Unidentified Counties, WA",2018,12152,0.08%
,Washington,"Unidentified Counties, WA",2019,11969,0.08%
Total,Washington,"Unidentified Counties, WA",,49254,0.32%
Total,Washington,,,349047,2.28%
,West Virginia,"Berkeley County, WV",2016,1393,0.01%
,West Virginia,"Berkeley County, WV",2017,1361,0.01%
,West Virginia,"Berkeley County, WV",2018,1487,0.01%
,West Virginia,"Berkeley County, WV",2019,1450,0.01%
Total,West Virginia,"Berkeley County, WV",,5691,0.04%
,West Virginia,"Kanawha County, WV",2016,1968,0.01%
,West Virginia,"Kanawha County, WV",2017,1929,0.01%
,West Virginia,"Kanawha County, WV",2018,1864,0.01%
,West Virginia,"Kanawha County, WV",2019,1757,0.01%
Total,West Virginia,"Kanawha County, WV",,7518,0.05%
,West Virginia,"Unidentified Counties, WV",2016,15718,0.10%
,West Virginia,"Unidentified Counties, WV",2017,15385,0.10%
,West Virginia,"Unidentified Counties, WV",2018,14897,0.10%
,West Virginia,"Unidentified Counties, WV",2019,14929,0.10%
Total,West Virginia,"Unidentified Counties, WV",,60929,0.40%
Total,West Virginia,,,74138,0.48%
,Wisconsin,"Brown County, WI",2016,3336,0.02%
,Wisconsin,"Brown County, WI",2017,3323,0.02%
,Wisconsin,"Brown County, WI",2018,3158,0.02%
,Wisconsin,"Brown County, WI",2019,3104,0.02%
Total,Wisconsin,"Brown County, WI",,12921,0.08%
,Wisconsin,"Dane County, WI",2016,6052,0.04%
,Wisconsin,"Dane County, WI",2017,5883,0.04%
,Wisconsin,"Dane County, WI",2018,5753,0.04%
,Wisconsin,"Dane County, WI",2019,5766,0.04%
Total,Wisconsin,"Dane County, WI",,23454,0.15%
,Wisconsin,"Fond du Lac County, WI",2016,1031,0.01%
,Wisconsin,"Fond du Lac County, WI",2017,1066,0.01%
,Wisconsin,"Fond du Lac County, WI",2018,1073,0.01%
,Wisconsin,"Fond du Lac County, WI",2019,1023,0.01%
Total,Wisconsin,"Fond du Lac County, WI",,4193,0.03%
,Wisconsin,"Kenosha County, WI",2016,1936,0.01%
,Wisconsin,"Kenosha County, WI",2017,1876,0.01%
,Wisconsin,"Kenosha County, WI",2018,1788,0.01%
,Wisconsin,"Kenosha County, WI",2019,1838,0.01%
Total,Wisconsin,"Kenosha County, WI",,7438,0.05%
,Wisconsin,"La Crosse County, WI",2016,1188,0.01%
,Wisconsin,"La Crosse County, WI",2017,1188,0.01%
,Wisconsin,"La Crosse County, WI",2018,1176,0.01%
,Wisconsin,"La Crosse County, WI",2019,1124,0.01%
Total,Wisconsin,"La Crosse County, WI",,4676,0.03%
,Wisconsin,"Marathon County, WI",2016,1635,0.01%
,Wisconsin,"Marathon County, WI",2017,1451,0.01%
,Wisconsin,"Marathon County, WI",2018,1561,0.01%
,Wisconsin,"Marathon County, WI",2019,1514,0.01%
Total,Wisconsin,"Marathon County, WI",,6161,0.04%
,Wisconsin,"Milwaukee County, WI",2016,13658,0.09%
,Wisconsin,"Milwaukee County, WI",2017,13427,0.09%
,Wisconsin,"Milwaukee County, WI",2018,13032,0.08%
,Wisconsin,"Milwaukee County, WI",2019,13064,0.09%
Total,Wisconsin,"Milwaukee County, WI",,53181,0.35%
,Wisconsin,"Outagamie County, WI",2016,2319,0.02%
,Wisconsin,"Outagamie County, WI",2017,2205,0.01%
,Wisconsin,"Outagamie County, WI",2018,2215,0.01%
,Wisconsin,"Outagamie County, WI",2019,2228,0.01%
Total,Wisconsin,"Outagamie County, WI",,8967,0.06%
,Wisconsin,"Racine County, WI",2016,2417,0.02%
,Wisconsin,"Racine County, WI",2017,2285,0.01%
,Wisconsin,"Racine County, WI",2018,2271,0.01%
,Wisconsin,"Racine County, WI",2019,2331,0.02%
Total,Wisconsin,"Racine County, WI",,9304,0.06%
,Wisconsin,"Rock County, WI",2016,2003,0.01%
,Wisconsin,"Rock County, WI",2017,1911,0.01%
,Wisconsin,"Rock County, WI",2018,1869,0.01%
,Wisconsin,"Rock County, WI",2019,1832,0.01%
Total,Wisconsin,"Rock County, WI",,7615,0.05%
,Wisconsin,"Sheboygan County, WI",2016,1257,0.01%
,Wisconsin,"Sheboygan County, WI",2017,1204,0.01%
,Wisconsin,"Sheboygan County, WI",2018,1270,0.01%
,Wisconsin,"Sheboygan County, WI",2019,1199,0.01%
Total,Wisconsin,"Sheboygan County, WI",,4930,0.03%
,Wisconsin,"Walworth County, WI",2016,967,0.01%
,Wisconsin,"Walworth County, WI",2017,917,0.01%
,Wisconsin,"Walworth County, WI",2018,942,0.01%
,Wisconsin,"Walworth County, WI",2019,945,0.01%
Total,Wisconsin,"Walworth County, WI",,3771,0.02%
,Wisconsin,"Washington County, WI",2016,1331,0.01%
,Wisconsin,"Washington County, WI",2017,1291,0.01%
,Wisconsin,"Washington County, WI",2018,1300,0.01%
,Wisconsin,"Washington County, WI",2019,1284,0.01%
Total,Wisconsin,"Washington County, WI",,5206,0.03%
,Wisconsin,"Waukesha County, WI",2016,4008,0.03%
,Wisconsin,"Waukesha County, WI",2017,3863,0.03%
,Wisconsin,"Waukesha County, WI",2018,3918,0.03%
,Wisconsin,"Waukesha County, WI",2019,3724,0.02%
Total,Wisconsin,"Waukesha County, WI",,15513,0.10%
,Wisconsin,"Winnebago County, WI",2016,1905,0.01%
,Wisconsin,"Winnebago County, WI",2017,1833,0.01%
,Wisconsin,"Winnebago County, WI",2018,1798,0.01%
,Wisconsin,"Winnebago County, WI",2019,1741,0.01%
Total,Wisconsin,"Winnebago County, WI",,7277,0.05%
,Wisconsin,"Unidentified Counties, WI",2016,21572,0.14%
,Wisconsin,"Unidentified Counties, WI",2017,21252,0.14%
,Wisconsin,"Unidentified Counties, WI",2018,20974,0.14%
,Wisconsin,"Unidentified Counties, WI",2019,20553,0.13%
Total,Wisconsin,"Unidentified Counties, WI",,84351,0.55%
Total,Wisconsin,,,258958,1.69%
,Wyoming,"Unidentified Counties, WY",2016,7386,0.05%
,Wyoming,"Unidentified Counties, WY",2017,6903,0.04%
,Wyoming,"Unidentified Counties, WY",2018,6562,0.04%
,Wyoming,"Unidentified Counties, WY",2019,6565,0.04%
Total,Wyoming,"Unidentified Counties, WY",,27416,0.18%
Total,Wyoming,,,27416,0.18%
Total,,,,15340627,100.00%
---,,,,,
